Federated Investors, Inc.;Federated	Federated
Cameron International Corp.	卡梅隆国际
CF Industries Holdings, Inc.	CF工业控股公司
CareFusion Corp.	康尔福盛
Chesapeake Energy Corporation	切萨皮克能源公司
Chesapeake Energy Corporation	切萨皮克能源公司
salesforce.com, inc.;salesforce	赛富时
CSX Corporation;CSX	CSX运输
CSX Corporation;CSX	CSX运输
CenturyLink, Inc.	CenturyLink, Inc.
Cablevision Systems Corp.	有线电视系统
Coventry Health Care, Inc.;Coventry Health Care	考文垂医疗保健
Dean Foods Company;Dean Foods	Dean Foods
Quest Diagnostics Incorporated;Quest Diagnostics	Quest Diagnostics
D.R. Horton, Inc.	美国霍顿公司
The Walt Disney Company;Disney	迪士尼
The Dun & Bradstreet Corporation;Dun & Bradstreet	邓白氏
KeyCorp	KeyCorp
Kimberly-Clark Corporation;Kimberly-Clark	金佰利
Merck & Co., Inc.;Merck	默克
The Coca-Cola Company;Coca-Cola	可口可乐
Lockheed Martin Corporation;Lockheed Martin	洛克希德马丁
Marathon Oil Corporation;Marathon Oil	马拉松石油
Medco Health Solutions Inc.	美可保健
Altria Group, Inc.;Altria	奥驰亚集团
Monsanto Company;Monsanto	孟山都
M&T Bank Corporation;M&T	M&T
Dell Inc.;DELL-T	戴尔
GE Capital	GE Capital
Automatic Data Processing, Inc.;ADP	自动数据处理
Automatic Data Processing, Inc.;ADP	自动数据处理
Glowpoint, Inc.;Glowpoint	Glowpoint
The Goldfield Corporation	The Goldfield Corporation
U.S. Geothermal Inc.	U.S. Geothermal Inc.
AeroCentury Corp.;AeroCentury	AeroCentury
Chicago Rivet & Machine Co.	Chicago Rivet & Machine Co.
CTPartners Executive Search Inc.;CTPartners Executive Search	CTPartners猎头
Document Security Systems, Inc.;DSS	DSS
GEE Group, Inc.;GEE Group	GEE Group
Graham Corporation;Graham	Graham
GSE Systems, Inc.;GSE Systems	GSE Systems
IEC Electronics Corp.;IEC Electronics	IEC Electronics
Intellicheck, Inc.;Intellicheck	Intellicheck
MGT Capital Investments	MGT Capital Investments
Carnival Corporation	嘉年华邮轮公司
Altaba Inc.;Altaba	雅虎
Allergan Inc;Allergan	爱力根
Danaher Corporation;Danaher	丹纳赫
Adobe Inc.;Adobe	奥多比
The Hershey Company;Hershey	好时
China Life Insurance Company Limited;China Life	中国人寿
H&E Equipment Services, Inc.;H&E Equipment Services	H&E Equipment Services
Hingham Institution for Savings	Hingham Institution for Savings
Clean Energy Fuels Corp.;Clean Energy	Clean Energy
8x8, Inc.	8x8, Inc.
Alaska Communications Systems Group, Inc.;Alaska Communications	Alaska Communications
América Móvil, S.A.B. de C.V.;América Móvil	美洲移动
América Móvil, S.A.B. de C.V.;América Móvil	美洲移动
ATN International, Inc.	ATN International, Inc.
ATN International, Inc.	ATN International, Inc.
AudioCodes Ltd.;AudioCodes	AudioCodes
Clearfield, Inc.;Clearfield	克利尔菲尔德通讯
Communications Systems, Inc.;Communications Systems	通信系统
Consolidated Communications Holdings, Inc.	Consolidated Communications Holdings, Inc.
Equinix, Inc.;Equinix	易昆尼克斯
DASAN Zhone Solutions, Inc.;DASAN Zhone Solutions	DASAN Zhone Solutions
Artesian Resources Corporation;Artesian Resources	Artesian Resources
Allot Ltd.;Allot	艾奥特
B.O.S. Better Online Solutions Ltd.;BOS	BOS科技
Black Box Corporation;Black Box	黑盒
Echelon Corporation;Echelon	Echelon
Electronics For Imaging, Inc.;EFI	Electronics For Imaging, Inc.
Discover Financial Services	探索金融服务公司
Eastman Kodak Company;Eastman Kodak	伊士曼柯达
General Dynamics Corporation;General Dynamics	General Dynamics
Abbott Laboratories;Abbott	雅培
Humana Inc.;Humana	哈门那
Deere & Company;John Deere	迪尔
The AES Corporation;AES	爱依斯
CBS Corporation;CBS	哥伦比亚广播
Aflac Incorporated;Aflac	美国家庭人寿保险
The Kroger Co.;Kroger	克罗格
CVS Health Corporation;CVS Health	CVS Health
The Gap, Inc.;Gap	盖普
The Dow Chemical Company;Dow Chemical	陶氏化学
E. I. du Pont de Nemours and Company;DuPont	杜邦
Extreme Networks, Inc.;Extreme	Extreme
Cray Inc.;Cray	克雷
AstroNova, Inc.;AstroNova	AstroNova
Brocade Communications Systems, Inc.	Brocade Communications Systems, Inc.
Crossroads Systems, Inc.	Crossroads Systems, Inc.
American Software, Inc.	American Software, Inc.
ANSYS, Inc.	ANSYS, Inc.
Bazaarvoice, Inc.	Bazaarvoice, Inc.
Blackbaud, Inc.;Blackbaud	Blackbaud
Bottomline Technologies (de), Inc.	Bottomline Technologies (de), Inc.
Bridgeline Digital, Inc.	Bridgeline Digital, Inc.
BroadSoft, Inc.;BroadSoft	BroadSoft
BroadVision, Inc.;BroadVision	BroadVision
Cogent Communications Holdings, Inc.;Cogent	Cogent
Datawatch Corporation;Datawatch	Datawatch
FalconStor Software, Inc.	FalconStor Software, Inc.
LivePerson, Inc.;LivePerson	LivePerson
LogMeIn, Inc.	LogMeIn, Inc.
AutoWeb, Inc.;AutoWeb	AutoWeb
Edgewater Technology, Inc.;Edgewater	Edgewater
EnerNOC, Inc.	EnerNOC, Inc.
Aspen Technology, Inc.;AspenTech	AspenTech
Asure Software, Inc.;Asure Software	Asure Software
Brightcove Inc.;Brightcove	Brightcove
Computer Programs and Systems, Inc.;CPSI	CPSI
DynaVox Inc.	DynaVox Inc.
Ebix, Inc.;Ebix	Ebix
Evolving Systems, Inc.;Evolving	Evolving
Formula Systems (1985) Ltd.	Formula Systems (1985) Ltd.
Innovative Solutions and Support, Inc.;Innovative Solutions and Support	Innovative Solutions and Support
Jack Henry & Associates, Inc.;Jack Henry	杰克亨利
Jive Software, Inc.	Jive Software, Inc.
Creative Realities, Inc.;Creative Realities	Creative Realities
Eltek Ltd.	Eltek Ltd.
Amtech Systems, Inc.	Amtech Systems, Inc.
Brooks Automation, Inc.;Brooks	布鲁克斯
Energy Recovery, Inc.;Energy Recovery	Energy Recovery
Intevac, Inc.	Intevac, Inc.
Barrett Business Services, Inc.;Barrett Business Services	巴瑞特商业服务
ASGN Incorporated	ASGN Incorporated
ASGN Incorporated	ASGN Incorporated
Aviat Networks, Inc.;Aviat Networks	Aviat Networks
ClearOne, Inc.;ClearOne	ClearOne
Comtech Telecommunications Corp.;Comtech Telecommunications	网技通讯
Harmonic Inc.;Harmonic	哈雷
Loral Space & Communications Inc.;Loral Space & Communications	劳拉空间通信
Alpha and Omega Semiconductor Limited;AOS	阿尔法和欧米伽半导体
Lennar Corporation;Lennar	莱纳
CocaCola Enterprises Inc.;CocaCola Enterprises Inc.	可口可乐企业
Alphabet Inc.;Alphabet	谷歌
Highpower International, Inc.;Highpower International	豪鹏国际
Highpower International, Inc.;Highpower International	豪鹏国际
Kandi Technologies Group, Inc.;Kandi	康迪科技
Dominion Energy, Inc.	Dominion Energy, Inc.
Loews Corporation	洛斯公司
The Mosaic Company;Mosaic	美盛
Aetna Inc.;Aetna	安泰
Kingsway Financial Services Inc.;Kingsway	Kingsway
MediciNova, Inc.;MediciNova	MediciNova
JMU Limited;JMUL	众美联
Genpact Limited;Genpact	简柏特
Marathon Petroleum Corporation;Marathon	马拉松
Green Mountain Coffee Roasters Inc	绿山咖啡
Crown Castle International Corp.;Crown Castle	Crown Castle
Kinder Morgan, Inc.;Kinder Morgan	金德摩根
Advanced Energy Industries, Inc.;Advanced Energy	Advanced Energy
Amkor Technology, Inc.;Amkor Technology	Amkor Technology
Aware, Inc.;Aware	Aware
AXT, Inc.	AXT, Inc.
Cree, Inc.;Cree,	Cree,
Enphase Energy, Inc.;Enphase	Enphase
Exar Corporation	Exar Corporation
Finisar Corporation;Finisar	菲尼萨
IPG Photonics Corporation;IPG Photonics	IPG Photonics
IXYS Corporation	IXYS Corporation
Air T, Inc.;Air T	Air T
Air Transport Services Group, Inc.;ATSG	ATSG
Allegiant Travel Company;Allegiant Travel	Allegiant Travel
Hawaiian Holdings, Inc.	夏威夷控股公司
JetBlue Airways Corporation;JetBlue	捷蓝
Eagle Bulk Shipping Inc.	Eagle Bulk Shipping Inc.
Euroseas Ltd.;Euroseas	Euroseas
Echo Global Logistics, Inc.	Echo Global Logistics, Inc.
ArcBest Corporation;ArcBest	ArcBest
AMC Entertainment Holdings, Inc.;AMC	AMC
Ensco plc;Ensco	恩斯克
Hi-Crush Partners LP	Hi-Crush Partners LP
Aoxing Pharmaceutical Company, Inc.;Aoxing	奥星药业
Bloomin’ Brands, Inc.;Bloomin’ Brands	Bloomin’ Brands
LightInTheBox Holding Co., Ltd.;LightInTheBox	兰亭集势
Groupon, Inc.;Groupon	Groupon
Chindex International Inc.;Chindex	互利国际
Mohawk Industries, Inc.;Mohawk	莫霍克
Jiubang Inc.;Jiubang	广州久邦数码
KMG Chemicals, Inc.;KMG	KMG
The Carlyle Group L.P.;Carlyle	凯雷投资
DocuSign, Inc.;DocuSign	DocuSign
Century Aluminum Company;Century Aluminum	世纪铝业
Layne Christensen Company;Layne Christensen	Layne Christensen
Matrix Service Company	Matrix Service Company
Cavco Industries, Inc.	Cavco Industries, Inc.
Green Brick Partners, Inc.;Green Brick Partners	Green Brick Partners
Codexis, Inc.;Codexis	Codexis
Gevo, Inc.;Gevo	Gevo
Green Plains Inc.;Green Plains	Green Plains
Hydrogenics Corporation;Hydrogenics	Hydrogenics
Landec Corporation;Landec	Landec
Great Lakes Dredge & Dock Corporation	Great Lakes Dredge & Dock Corporation
Industrial Services of America, Inc.	Industrial Services of America, Inc.
CTI Industries Corporation;CTI Industries	CTI Industries
Crown Crafts, Inc.;Crown Crafts	Crown Crafts制衣
Crown Crafts, Inc.;Crown Crafts	Crown Crafts制衣
Commercial Vehicle Group, Inc.;Commercial Vehicle	商用汽车
Dorman Products, Inc.;Dorman	Dorman
Gentex Corporation;Gentex	真泰克
CombiMatrix Corporation;CombiMatrix	CombiMatrix
Integra LifeSciences Holdings Corporation;Integra	Integra
Gencor Industries, Inc.;Gencor	Gencor
Aehr Test Systems;Aehr Test	Aehr Test
Data I/O Corporation	Data I/O Corporation
Giga-tronics Incorporated	Giga-tronics Incorporated
IntriCon Corporation;IntriCon	IntriCon
Mercury Systems, Inc.	Mercury Systems, Inc.
Camtek Ltd.;Camtek	Camtek
II-VI Incorporated	II-VI Incorporated
IES Holdings, Inc.;IES Holdings	IES Holdings
IES Holdings, Inc.;IES Holdings	IES Holdings
Comstock Holding Companies, Inc.;Comstock	康斯托克
AAON, Inc.	AAON, Inc.
Cognex Corporation;Cognex	康耐视
Lifetime Brands, Inc.;Lifetime Brands	Lifetime Brands
Mesa Laboratories, Inc.;Mesa Laboratories	Mesa Laboratories
MKS Instruments, Inc.;MKS Instruments	MKS Instruments
MKS Instruments, Inc.;MKS Instruments	MKS Instruments
MTS Systems Corporation;MTS Systems	MTS Systems
Kewaunee Scientific Corporation;Kewaunee	Kewaunee
Misonix, Inc.;Misonix	Misonix
Chart Industries, Inc.;Chart	Chart
China Mobile Games And Entertainment Group Limited;China Mobile Games and Entertainment	中国手游
Honda Motor Co., Ltd.;Honda Motor	本田技研
JD.com, Inc.;JD.com	京东商城
Diamondback Energy, Inc.;Diamondback Energy	Diamondback Energy
Ambarella, Inc.;Ambarella	安霸
Amira Nature Foods Ltd	Amira Nature Foods Ltd
Fleetmatics Group	Fleetmatics Group
Berry Global Group, Inc.	Berry Global Group, Inc.
Lifelock	Lifelock
Collabrium Japan Acquisition	Collabrium Japan Acquisition
Amreit Inc;Amreit	Amreit
E2open	E2open
Cencosud S.A.	Cencosud S.A.
Forum Energy Technologies, Inc.	Forum Energy Technologies, Inc.
Exa Corporation	Exa Corporation
EverBank Financial Corp	EverBank Financial Corp
Five Below, Inc.	Five Below, Inc.
Atossa Genetics Inc.;Atossa Genetics	Atossa Genetics
Allied World Assurance Company Holdings, AG;Allied World	Allied World
American Vanguard Corporation	American Vanguard Corporation
AptarGroup, Inc.;AptarGroup	AptarGroup
BCE Inc.;BCE	BCE Inc.
Brown & Brown, Inc.;Brown & Brown	Brown & Brown
Clean Harbors, Inc.;Clean Harbors	Clean Harbors
Commercial Metals Company;CMC	CMC
Albemarle Corporation;Albemarle	雅宝
Anixter International Inc.	Anixter International Inc.
Actuant Corporation;Actuant	实用动力
Gulf Island Fabrication, Inc.	Gulf Island Fabrication, Inc.
Kaiser Aluminum Corporation;Kaiser Aluminum	凯撒铝业
Mobile Mini, Inc.;Mobile Mini	Mobile Mini
LMI Aerospace, Inc.	LMI Aerospace, Inc.
CDTi Advanced Materials, Inc.;CDTi	CDTi
Insteel Industries, Inc.;Insteel	Insteel
America’s Car-Mart, Inc.;Car-Mart	Car-Mart
Casey’s General Stores, Inc.;Casey’s	Casey’s
Charles & Colvard, Ltd.;Charles & Colvard	Charles & Colvard
Littelfuse, Inc.;Littelfuse	力特保险丝
Hooker Furniture Corporation;Hooker Furniture	Hooker Furniture
Lawson Products, Inc.;Lawson Products	Lawson Products
AcelRx Pharmaceuticals, Inc.	AcelRx Pharmaceuticals, Inc.
Achillion Pharmaceuticals, Inc.;Achillion	Achillion
Aeterna Zentaris Inc.;Aeterna Zentaris	Aeterna Zentaris
CTI BioPharma Corp.;CTI BioPharma	CTI BioPharma
Juniper Pharmaceuticals, Inc.	瞻博制药公司
Cyclacel Pharmaceuticals, Inc.;Cyclacel	Cyclacel
Cytokinetics, Incorporated	Cytokinetics, Incorporated
Alon Blue Square Israel Ltd.	Alon Blue Square Israel Ltd.
Alumina Limited	Alumina Limited
GrafTech International Ltd.;GrafTech International	GrafTech International
ARC Document Solutions, Inc.	ARC Document Solutions, Inc.
Arbitron Inc.	阿比创公司
Autoliv, Inc.;Autoliv	Autoliv
BankUnited, Inc.	BankUnited, Inc.
Briggs & Stratton Corporation;Briggs & Stratton	百力通
Brookdale Senior Living Inc.;Brookdale Senior Living	布鲁克代尔高级护理
Cantel Medical Corp.;Cantel Medical	Cantel Medical
Cantel Medical Corp.;Cantel Medical	Cantel Medical
Affiliated Managers Group, Inc.	Affiliated Managers Group, Inc.
Allison Transmission Holdings, Inc.	艾里逊变速箱公司
Cott Corporation;Cott	Cott
Fabrinet	Fabrinet
American States Water Company	American States Water Company
Canadian Pacific Railway Limited	加拿大太平洋铁路有限责任公司
Alaska Air Group, Inc.;Alaska Air	阿拉斯加航空
Armstrong World Industries, Inc.	阿姆斯壮世界工业有限公司
Barnes & Noble, Inc.;Barnes & Noble	巴诺
American Axle & Manufacturing Holdings, Inc.	美国车桥制造国际控股有限公司
Badger Meter, Inc.;Badger Meter	Badger Meter
The Howard Hughes Corporation;Howard Hughes	Howard Hughes
Inphi Corporation;Inphi	Inphi
Assertio Therapeutics, Inc.;Assertio	Assertio
DURECT Corporation	DURECT Corporation
Galectin Therapeutics Inc.;Galectin Therapeutics	Galectin Therapeutics
GenVec, Inc.;GenVec	GenVec
Geron Corporation;Geron	Geron
Grifols, S.A.	Grifols, S.A.
GTx, Inc.;GTx	GTx
Horizon Pharma plc;Horizon Pharma	Horizon Pharma
Infinity Pharmaceuticals, Inc.	Infinity Pharmaceuticals, Inc.
Insmed Incorporated;Insmed	Insmed
Keryx Biopharmaceuticals, Inc.;Keryx	克律克斯
Ligand Pharmaceuticals Incorporated;Ligand	Ligand
MannKind Corporation	曼恩凯德公司
Merus Labs International Inc.	Merus Labs International Inc.
Kazia Therapeutics Limited;Kazia Therapeutics	Kazia Therapeutics
Acer Therapeutics Inc.;Acer Therapeutics	Acer Therapeutics
Avid Bioservices, Inc.;Avid Bioservices	Avid Bioservices
Immutep Limited;Immutep	Immutep
Catalyst Biosciences, Inc.;Catalyst Biosciences	Catalyst Biosciences
Arbutus Biopharma Corporation;Arbutus Biopharma	Arbutus Biopharma
Innoviva, Inc.;Innoviva	Innoviva
Molecular Templates, Inc.	Molecular Templates, Inc.
Daktronics, Inc.;Daktronics	Daktronics
Herman Miller, Inc.;Herman Miller	Herman Miller
Kimball International, Inc.;Kimball International	Kimball International
Aceto Corporation;Aceto	Aceto
Cyanotech Corporation;Cyanotech	西亚诺泰克
Hawkins, Inc.;Hawkins	Hawkins
Mannatech, Incorporated;Mannatech	Mannatech
I.D. Systems, Inc.;I.D. Systems	I.D. Systems
Inseego Corp.	Inseego Corp.
Cherokee Inc.	Cherokee Inc.
G-III Apparel Group, Ltd.	G-III Apparel Group, Ltd.
Centric Brands Inc.;Centric Brands	Centric Brands
Coffee Holding Co., Inc.	Coffee Holding Co., Inc.
Coffee Holding Co., Inc.	Coffee Holding Co., Inc.
Jones Soda Co.	Jones Soda Co.
Koss Corporation;Koss	Koss
Agilysys, Inc.;Agilysys	Agilysys
Cool Holdings, Inc.	Cool Holdings, Inc.
Calavo Growers, Inc.;Calavo	Calavo
Cal-Maine Foods, Inc.	Cal-Maine Foods, Inc.
Griffin Industrial Realty, Inc.;Griffin Industrial Realty	Griffin Industrial Realty
Limoneira Company;Limoneira	Limoneira
Jarden Corporation	佳顿公司
Aegean Marine Petroleum Network Inc.	Aegean Marine Petroleum Network Inc.
Ampco-Pittsburgh Corporation;Ampco-Pittsburgh	Ampco-Pittsburgh
American Greetings Corporation	美国礼品公司
Callaway Golf Company;Callaway	卡拉威
The Cooper Companies, Inc.;The Cooper Companies	The Cooper Companies
Employers Holdings, Inc.	Employers Holdings, Inc.
Express, Inc.	Express, Inc.
ALLETE, Inc.	ALLETE, Inc.
Avalon Rare Metals, Inc.	阿瓦隆稀土公司
Benchmark Electronics, Inc.	Benchmark Electronics, Inc.
Hercules Capital, Inc.;Hercules Capital	Hercules Capital
ITT Educational Services, Inc.	ITT 教育服务公司
Banco Latinoamericano de Comercio Exterior, S.A.	Banco Latinoamericano de Comercio Exterior, S.A.
Beazer Homes USA, Inc.	贝哲房屋美国公司
Bellatrix Exploration Ltd.	Bellatrix Exploration Ltd.
Bellatrix Exploration Ltd.	Bellatrix Exploration Ltd.
Atlantic Power Corporation	Atlantic Power Corporation
Aeroflex Holding Corp.	艾法斯控股公司
Air Lease Corporation	航空租赁公司
Arch Coal, Inc.	Arch Coal, Inc.
Banco Santander-Chile	桑坦德银行智利分行
Fibria Celulose S.A.	Fibria Celulose S.A.
Freescale Semiconductor, Ltd.	飞思卡尔公司
Health Management Associates, Inc.	健康管理协会
Horace Mann Educators Corporation;Horace Mann	霍勒斯曼恩
International Rectifier Corporation	国际整流器公司
Banco de Chile	Banco de Chile
Belden Inc.;Belden	百通
Calpine Corporation	Calpine Corporation
Cohen & Steers, Inc.;Cohen & Steers	Cohen & Steers
Dynegy Inc.	Dynegy Inc.
Empresa Distribuidora y Comercializadora Norte S.A.;Edenor	Edenor
Brady Corporation	Brady Corporation
Chesapeake Utilities Corporation;Chesapeake Utilities	切萨皮克公共事业
Aircastle Limited;Aircastle	爱卡索
AMN Healthcare Services, Inc.	AMN Healthcare Services, Inc.
Apollo Global Management, LLC;Apollo	阿波罗
BWX Technologies, Inc.	BWX Technologies, Inc.
Cloud Peak Energy Inc.;Cloud Peak Energy	Cloud Peak Energy
Emergent BioSolutions Inc.;Emergent BioSolutions	Emergent BioSolutions
Comfort Systems USA, Inc.;Comfort Systems USA	Comfort Systems USA
Enel Generación Chile S.A.	Enel Generación Chile S.A.
Forestar Group Inc.	Forestar Group Inc.
Bonanza Creek Energy, Inc.	Bonanza Creek Energy, Inc.
Callon Petroleum Company	Callon Petroleum Company
Cementos Pacasmayo S.A.A.;Cementos Pacasmayo	Cementos Pacasmayo
Lancaster Colony Corporation;Lancaster Colony	Lancaster Colony
MGP Ingredients, Inc.	MGP Ingredients, Inc.
Gaming Partners International Corporation	Gaming Partners International Corporation
Johnson Outdoors Inc.	Johnson Outdoors Inc.
Crocs, Inc.;Crocs	卡骆驰
Deckers Outdoor Corporation;Deckers	德克斯
Deckers Outdoor Corporation;Deckers	德克斯
Iconix Brand Group, Inc.	艾康尼斯集团公司
Houston Wire & Cable Company;Houston Wire & Cable	休斯顿电线电缆
CUI Global, Inc.;CUI Global	CUI Global
Monro, Inc.	Monro, Inc.
Central European Media Enterprises Ltd.;Central European Media	中欧传媒
The InterGroup Corporation;The InterGroup	The InterGroup
Citi Trends, Inc.;Citi Trends	Citi Trends
Destination Maternity Corporation	Destination Maternity Corporation
Ingles Markets, Incorporated	Ingles Markets, Incorporated
Caesars Entertainment Corporation;Caesars Entertainment	凯撒娱乐
Golar LNG Limited	Golar LNG Limited
Golden Ocean Group Limited;Golden Ocean	Golden Ocean
LKQ Corporation	LKQ Corporation
Gaia, Inc.;Gaia	Gaia
Cleco Corporation	克雷克电业公司
Barings BDC, Inc.;Barings	Barings
Acuity Brands, Inc.;Acuity Brands	Acuity Brands
Alamo Group Inc.	Alamo Group Inc.
Alon USA Energy, Inc.	Alon USA Energy, Inc.
AOL Inc.	美国在线公司
American Water Works Company, Inc.	American Water Works Company, Inc.
Applied Industrial Technologies, Inc.	Applied Industrial Technologies, Inc.
Atmos Energy Corporation	Atmos Energy Corporation
Boyd Gaming Corporation	博伊德赌场公司
Ferro Corporation	Ferro Corporation
Harmony Gold Mining Company Limited;Harmony	Harmony
International Shipholding Corporation	国际船舶控股公司
Just Energy Group Inc.;Just Energy	Just Energy
Lindsay Corporation;Lindsay	Lindsay
Continental Resources, Inc.;Continental Resources	Continental Resources
Crawford & Company;Crawford	Crawford
Copa Holdings, S.A.;Copa Holdings	Copa Holdings
Core Laboratories N.V.;Core Laboratories	Core Laboratories
Alexander & Baldwin, Inc.	Alexander & Baldwin, Inc.
First American Financial Corporation;First American	First American
Fortuna Silver Mines Inc.;Fortuna	Fortuna
Foot Locker, Inc.	富乐客公司
Hawaiian Electric Industries, Inc.;HEI	HEI
Daily Journal Corporation;Daily Journal	Daily Journal
ADDvantage Technologies Group, Inc.	ADDvantage Technologies Group, Inc.
ADDvantage Technologies Group, Inc.	ADDvantage Technologies Group, Inc.
Career Education Corporation	Career Education Corporation
Lincoln Educational Services Corporation;Lincoln Educational Services	林肯教育服务
The Advisory Board Company	The Advisory Board Company
General Finance Corporation	General Finance Corporation
General Finance Corporation	General Finance Corporation
HSN, Inc.	HSN, Inc.
Kirkland’s, Inc.;Kirkland's	Kirkland's
Huron Consulting Group Inc.;Huron Consulting	休伦咨询
ICF International, Inc.	ICF International, Inc.
Actua Corporation	Actua Corporation
Information Services Group, Inc.;Information Services Group	信息服务集团
Information Services Group, Inc.;Information Services Group	信息服务集团
Cartesian, Inc.	Cartesian, Inc.
Cambium Learning Group, Inc.;Cambium Learning	Cambium Learning
Avis Budget Group, Inc.;Avis Budget Group	安飞士巴吉集团
Harte Hanks, Inc.;Harte Hanks	Harte Hanks
Hudbay Minerals Inc.;Hudbay Minerals	Hudbay Minerals
Huntington Ingalls Industries, Inc.;Huntington Ingalls Industries	亨廷顿英戈尔斯工业
Itau Unibanco Holding S.A.	艾涛联合银行控股股份公司
Arthur J. Gallagher & Co.	Arthur J. Gallagher & Co.
Brinker International, Inc.;Brinker International	Brinker International
CNH Global N.V.	凯斯纽荷兰
Envestnet, Inc.	Envestnet, Inc.
Flagstar Bancorp, Inc.	Flagstar Bancorp, Inc.
Flagstar Bancorp, Inc.	Flagstar Bancorp, Inc.
Fidelity National Financial, Inc.	Fidelity National Financial, Inc.
AZZ Inc.;AZZ	AZZ
Bio-Rad Laboratories, Inc.;Bio-Rad	伯乐生命医学
Centene Corporation;Centene	Centene
Centene Corporation;Centene	Centene
Belmond Ltd.	Belmond Ltd.
Enbridge Energy Management, L.L.C.	安桥能源管理有限责任公司
EnergySolutions Inc	能源方案公司
FAB Universal Corp.	FAB精彩世界集团
BBVA Banco Frances S.A.	BBVA Banco Frances S.A.
Eagle Materials Inc.;Eagle Materials	Eagle Materials
FutureFuel Corp.;FutureFuel	FutureFuel
Everi Holdings Inc.	Everi Holdings Inc.
Atwood Oceanics, Inc.	Atwood Oceanics, Inc.
Macro Bank, Inc.	Banco Macro S.A.
Cracker Barrel Old Country Store, Inc.;Cracker Barrel	Cracker Barrel
Dunkin' Brands Group, Inc.;Dunkin' Brands	Dunkin' Brands
Famous Dave’s of America, Inc.;Famous Dave’s	Famous Dave’s
Good Times Restaurants Inc.;Good Times	Good Times
Granite City Food & Brewery Ltd.	Granite City Food & Brewery Ltd.
Jamba, Inc.;Jamba	Jamba
Kona Grill, Inc.;Kona Grill	Kona Grill
The Cheesecake Factory Incorporated;Cheesecake Factory	芝乐坊餐厅
LiNiu Technology Group	犁牛科技集团
Churchill Downs Incorporated	Churchill Downs Incorporated
Golden Entertainment, Inc.	Golden Entertainment, Inc.
Cyren Ltd.;Cyren	Cyren
Globalstar, Inc.	Globalstar, Inc.
Globalstar, Inc.	Globalstar, Inc.
Kratos Defense & Security Solutions, Inc.;Kratos Defense & Security Solutions	Kratos Defense & Security Solutions
Charter Communications, Inc.	Charter Communications, Inc.
MSG Networks Inc.	MSG Networks Inc.
MSG Networks Inc.	MSG Networks Inc.
MakeMyTrip Limited;MakeMyTrip	MakeMyTrip
American Electric Technologies, Inc.	American Electric Technologies, Inc.
Motorcar Parts of America, Inc.	Motorcar Parts of America, Inc.
Carrizo Oil & Gas, Inc.;Carrizo	Carrizo
Gulfport Energy Corporation;Gulfport Energy	格尔夫波特能源
Booz Allen Hamilton Holding Corporation	Booz Allen Hamilton Holding Corporation
Brunswick Corporation;Brunswick	布朗斯威克
Federal Signal Corporation	Federal Signal Corporation
Franco-Nevada Corporation;Franco-Nevada	Franco-Nevada
HFF, Inc.;HFF	HFF
HCC Insurance Holdings, Inc.	HCC保险
Heckmann Corporation	海克曼投资公司
Hill International, Inc.	Hill International, Inc.
Hill International, Inc.	Hill International, Inc.
Crane Co.;Crane	Crane
Credicorp Ltd.	Credicorp Ltd.
Albany International Corp.;Albany International	奥巴尼国际
Arrow Electronics, Inc.;Arrow Electronics	艾睿电子
Black Hills Corporation	黑山公司
Fomento Económico Mexicano, S.A.B. de C.V.;FEMSA	FEMSA
Integer Holdings Corporation	Integer Holdings Corporation
HCA Healthcare, Inc.;HCA	HCA
Helix Energy Solutions Group, Inc.;Helix Energy Solutions	Helix Energy Solutions
Helix Energy Solutions Group, Inc.;Helix Energy Solutions	Helix Energy Solutions
CNO Financial Group, Inc.;CNO Financial Group	CNO Financial Group
Embotelladora Andina S.A.	Embotelladora Andina S.A.
Greene County Bancorp, Inc.	Greene County Bancorp, Inc.
JetPay Corporation;JetPay	JetPay
Grupo Financiero Galicia S.A.;Grupo Financiero Galicia	Grupo Financiero Galicia
MarketAxess Holdings Inc.;MarketAxess	MarketAxess
Diamond Hill Investment Group, Inc.;Diamond Hill	Diamond Hill
U.S. Global Investors, Inc.;U.S. Global	U.S. Global
Atlantic American Corporation;Atlantic American	Atlantic American
ACNB Corporation	ACNB Corporation
Ameris Bancorp	Ameris Bancorp
Hope Bancorp, Inc.	Hope Bancorp, Inc.
C&F Financial Corporation	C&F Financial Corporation
California First National Bancorp	加州第一国民银行
Capital City Bank Group, Inc.;Capital City Bank Group	Capital City Bank Group
Central Valley Community Bancorp;Central Valley	中央谷地
Citizens & Northern Corporation;Citizens & Northern	市民北方
Citizens First Corporation;Citizens First	第一民众
Citizens Holding Company;Citizens Holding	民众控股
Citizens Holding Company;Citizens Holding	民众控股
City Holding Company;City Holding	城市控股
CNB Financial Corporation;CNB Financial	CNB金融
Frontline Ltd.;Frontline	Frontline
LCI Industries	LCI Industries
Celestica Inc.;Celestica	Celestica
Hanesbrands Inc.;Hanes	Hanes
Hillenbrand, Inc.;Hillenbrand	希伦布兰德
Intrepid Potash, Inc.	Intrepid Potash, Inc.
Louisiana-Pacific Corporation;Louisiana-Pacific	Louisiana-Pacific
BlueLinx Holdings Inc.	BlueLinx Holdings Inc.
Bridgepoint Education, Inc.	Bridgepoint Education, Inc.
Brookfield Asset Management Inc.;Brookfield	Brookfield
Brookfield Asset Management Inc.;Brookfield	Brookfield
