Federated Investors, Inc.;Federated	Federated
Future FinTech Group Inc.	未来金融科技集团有限公司
Espey Mfg. & Electronics Corp.;Espey	Espey
Friedman Industries, Incorporated	Friedman Industries, Incorporated
Huaneng Power International, Inc.;HPI	华能国际
Aerosonic	Aerosonic
American Spectrum Realty	American Spectrum Realty
Birks & Mayors	Birks & Mayors
ADVENTRX Pharmaceuticals	ADVENTRX Pharmaceuticals
Breeze-Eastern	Breeze-Eastern
Ellomay Capital Ltd.;Ellomay	Ellomay
Global Cord Blood Corporation;GCBC	国际脐带血库
Caladrius Biosciences, Inc.;Caladrius Biosciences	Caladrius Biosciences
Full House Resorts, Inc.;Full House Resorts	Full House Resorts
Full House Resorts, Inc.;Full House Resorts	Full House Resorts
HMG/Courtland Properties, Inc.	HMG/Courtland Properties, Inc.
Income Opportunity Realty Investors, Inc.	Income Opportunity Realty Investors, Inc.
Iteris, Inc.;Iteris	Iteris
Iteris, Inc.;Iteris	Iteris
IsoRay, Inc.;IsoRay	IsoRay
iParty	iParty
Earthstone Energy, Inc.	Earthstone Energy, Inc.
Evolution Petroleum Corporation	Evolution Petroleum Corporation
FieldPoint Petroleum Corporation	FieldPoint Petroleum Corporation
Daxor Corporation;Daxor	Daxor
Altimmune, Inc.;Altimmune	Altimmune
Altimmune, Inc.;Altimmune	Altimmune
Bar Harbor Bankshares	Bar Harbor Bankshares
Hemispherx Biopharma, Inc.;Hemispherx	Hemispherx
Electromed, Inc.;Electromed	Electromed
Electromed, Inc.;Electromed	Electromed
CIM Commercial Trust Corporation;CMCT	CMCT
Preferred Apartment Communities, Inc.;Preferred Apartment Communities	Preferred Apartment Communities
Preferred Apartment Communities, Inc.;Preferred Apartment Communities	Preferred Apartment Communities
Apyx Medical Corporation;Apyx Medical	Apyx Medical
ACRE Realty Investors Inc.	ACRE Realty Investors Inc.
Core Molding Technologies, Inc.;Core Molding Technologies	Core Molding Technologies
Barnwell Industries, Inc.	Barnwell Industries, Inc.
Cheniere Energy Partners LP Holdings, LLC;Cheniere	Cheniere
BioTime, Inc.;BioTime	BioTime
Antares Pharma, Inc.;Antares Pharma	Antares Pharma
Antares Pharma, Inc.;Antares Pharma	Antares Pharma
American Shared Hospital Services	American Shared Hospital Services
American Apparel Inc;American Apparel	美国服饰
Bancorp of New Jersey, Inc.	Bancorp of New Jersey, Inc.
Community Bankers Trust Corporation	Community Bankers Trust Corporation
